cid,id_instalacion,rut_jefe_cierre,fecha_cierre,fecha_apertura
387,192,91085975-7,2020-01-02 03:18:44,2020-01-16 10:04:02
388,129,42538060-5,2012-01-05 12:05:00,2012-01-10 14:10:21
389,153,24115633-8,2013-04-22 05:54:13,2013-04-26 10:43:41
390,64,48007583-8,2010-09-27 07:42:11,2010-10-05 14:24:39
391,40,77210598-3,2012-05-05 09:45:09,2012-05-18 18:02:23
392,214,23625905-6,2019-03-31 05:57:03,2019-04-09 16:29:11
393,102,34643031-1,2014-01-20 03:46:55,2014-02-02 07:56:02
394,127,15955355-8,2018-11-22 02:18:39,2018-12-05 07:15:12
395,94,44290962-8,2016-03-02 21:58:56,2016-03-09 08:22:18
396,5,88094734-6,2016-04-05 08:51:32,2016-04-13 21:00:51
397,88,17286061-3,2018-08-31 21:45:31,2018-09-12 10:37:39
398,162,88034198-7,2015-04-13 08:49:44,2015-04-16 11:14:12
399,180,25327705-k,2017-01-04 11:12:38,2017-01-17 02:05:18
400,37,22479749-4,2017-06-22 16:13:35,2017-07-05 01:16:12
401,213,25806104-7,2015-06-22 11:30:07,2015-07-01 00:30:31
402,136,42354523-2,2020-01-15 17:24:57,2020-01-26 22:59:10
403,11,97996738-1,2018-07-11 07:23:10,2018-07-25 13:07:35
404,103,73026642-1,2013-03-19 15:08:24,2013-03-24 17:26:30
405,67,11636170-1,2010-06-30 07:15:56,2010-07-06 18:46:25
406,72,64370666-0,2018-09-08 07:07:14,2018-09-20 07:29:24
407,104,22150901-3,2019-03-01 23:38:16,2019-03-11 04:01:46
408,102,60916764-5,2016-03-19 23:56:55,2016-03-26 06:19:30
409,12,35685353-9,2013-05-22 18:13:39,2013-06-06 00:43:59
410,68,49166815-6,2018-06-24 10:25:33,2018-06-29 11:04:23
411,155,43161018-3,2012-03-03 06:52:38,2012-03-06 18:29:22
412,25,56914123-0,2018-05-26 09:09:52,2018-05-31 01:10:57
413,11,97996738-1,2017-06-20 02:06:40,2017-06-23 18:37:22
414,165,58945079-5,2013-11-04 14:44:35,2013-11-13 22:12:18
415,29,54122700-8,2018-11-22 19:54:10,2018-12-05 02:11:20
416,55,96900689-8,2019-01-24 11:30:16,2019-02-02 22:29:22
417,116,38072383-2,2012-03-08 04:05:06,2012-03-11 04:43:27
418,100,73540572-1,2018-05-14 11:37:29,2018-05-23 22:17:42
419,28,14114400-6,2013-08-25 16:09:46,2013-09-06 06:10:50
420,190,28273728-0,2011-03-31 14:40:26,2011-04-07 14:53:32
421,98,16670974-1,2019-09-01 15:59:46,2019-09-05 04:16:36
422,214,66714421-3,2017-08-18 18:27:38,2017-09-02 01:36:38
423,57,76081261-7,2011-03-25 11:46:32,2011-04-01 19:47:43
424,11,58557550-k,2012-07-07 06:37:18,2012-07-19 10:45:56
425,120,47067447-4,2014-05-30 22:38:50,2014-06-08 09:11:16
426,209,45467235-6,2011-02-18 10:38:53,2011-02-22 18:32:34
427,164,75397524-1,2010-10-08 13:13:34,2010-10-19 05:52:28
428,165,51844875-7,2013-05-03 19:31:07,2013-05-10 03:47:59
429,166,84593882-2,2010-02-23 13:23:30,2010-03-02 19:12:36
430,162,60370162-3,2019-03-16 10:59:59,2019-03-24 12:34:50
431,130,79308193-6,2013-02-27 14:06:33,2013-03-05 21:14:36
432,37,34349789-k,2019-07-02 20:22:26,2019-07-08 07:44:51
433,145,40644356-6,2018-01-19 01:10:43,2018-02-01 07:33:46
434,101,36615636-4,2018-12-02 18:10:44,2018-12-07 04:25:19
435,120,96562711-1,2013-05-15 06:47:13,2013-05-29 18:30:28
436,143,38563658-k,2017-10-09 05:45:56,2017-10-17 12:22:34
437,112,66295586-8,2015-11-02 01:50:44,2015-11-16 06:55:52
438,27,74361473-9,2020-03-13 06:40:59,2020-03-26 21:15:14
439,110,39899583-k,2013-03-28 15:46:20,2013-04-10 02:29:51
440,19,89118524-3,2019-03-06 23:03:43,2019-03-21 04:44:41
441,148,89671041-9,2011-01-01 06:44:13,2011-01-13 16:35:44
442,184,45717384-9,2010-06-01 20:44:14,2010-06-10 20:46:07
443,176,42678415-7,2017-10-05 15:21:46,2017-10-20 03:01:38
444,89,16008678-5,2016-11-06 21:16:40,2016-11-17 01:59:05
445,166,84593882-2,2012-07-27 16:12:21,2012-07-31 18:38:27
446,197,64221026-2,2019-08-16 13:21:07,2019-08-24 03:56:33
447,113,94888169-1,2014-07-15 04:41:35,2014-07-29 10:39:49
448,7,83538271-0,2018-09-26 03:40:10,2018-10-05 20:08:18
449,26,43922451-7,2010-02-11 05:07:10,2010-02-25 05:13:46
450,33,56292778-6,2010-09-15 22:40:35,2010-09-21 04:18:09
451,70,58765828-3,2013-11-15 04:59:28,2013-11-20 20:29:45
452,21,74759859-2,2011-03-07 06:01:45,2011-03-20 12:44:22
453,82,99466469-7,2012-02-06 10:45:47,2012-02-20 13:18:35
454,192,91935122-5,2014-04-07 23:51:01,2014-04-20 00:25:07
455,147,37376941-k,2018-04-25 23:02:44,2018-04-29 14:54:16
456,187,55012555-2,2017-01-17 15:19:14,2017-01-27 07:52:20
457,119,59105378-7,2014-12-30 22:53:45,2015-01-13 02:54:26
458,1,23407008-8,2013-11-22 19:16:11,2013-11-26 19:34:45
459,104,22150901-3,2017-10-20 17:10:40,2017-10-24 04:01:31
460,139,10619372-k,2018-07-24 16:22:16,2018-08-04 07:12:31
461,198,65538426-k,2016-03-22 10:33:49,2016-04-01 22:22:34
462,101,31706054-8,2014-01-12 17:51:02,2014-01-19 04:04:17
463,128,93892863-0,2013-03-16 05:07:13,2013-03-29 09:41:34
464,186,84569598-9,2012-11-30 15:22:51,2012-12-03 22:22:38
465,103,76396643-7,2013-11-22 19:56:10,2013-11-30 11:52:32
466,145,12187269-2,2018-05-10 07:26:44,2018-05-17 12:03:13
467,116,99347364-2,2019-10-15 02:48:16,2019-10-27 05:28:12
468,203,50109588-5,2016-04-25 00:57:56,2016-05-05 13:24:58
469,54,79348268-k,2017-12-02 21:53:43,2017-12-07 05:39:37
470,98,99837067-1,2012-04-25 16:55:05,2012-05-05 19:29:24
471,212,77489819-0,2017-01-09 15:34:41,2017-01-14 01:15:43
472,144,70388205-6,2014-06-24 12:20:44,2014-07-03 13:09:10
473,116,86367440-9,2019-03-08 20:42:00,2019-03-15 06:15:11
474,172,82993651-8,2017-10-09 08:30:21,2017-10-13 21:35:02
475,169,75328775-2,2014-01-15 00:07:33,2014-01-28 13:26:04
476,138,21201270-k,2011-01-23 22:45:51,2011-01-31 11:30:07
477,69,95367461-0,2017-12-01 01:18:22,2017-12-13 03:28:49
478,48,11554909-k,2011-11-10 07:24:18,2011-11-20 11:38:39
479,30,33016426-3,2019-03-23 17:39:32,2019-03-29 05:38:41
480,131,70582800-8,2013-01-11 06:50:31,2013-01-20 17:07:37
481,90,32628385-1,2018-02-04 01:39:36,2018-02-17 03:32:33
482,174,14292252-5,2011-12-14 00:35:11,2011-12-28 11:48:45
483,67,48292072-1,2013-03-21 06:11:56,2013-04-03 17:17:42
484,190,54746197-5,2016-03-09 11:17:10,2016-03-21 14:49:51
485,66,43953571-7,2015-03-12 04:40:40,2015-03-25 12:30:20
486,59,75910499-4,2019-07-30 10:13:01,2019-08-09 12:49:02
487,60,10254486-2,2018-08-07 03:42:20,2018-08-19 05:30:27
488,164,75397524-1,2018-02-01 03:40:33,2018-02-04 06:22:35
489,172,12348490-8,2020-07-08 07:29:03,2020-07-16 08:25:06
490,117,80092681-5,2017-11-08 18:53:28,2017-11-20 04:02:58
491,200,53329659-9,2018-05-17 15:56:48,2018-05-29 08:35:24
492,23,28630079-0,2013-05-07 09:42:46,2013-05-16 12:00:58
493,210,83386046-1,2015-08-30 20:33:33,2015-09-10 22:50:04
494,48,14377401-5,2016-10-01 12:18:14,2016-10-04 22:21:14
495,187,73543707-0,2013-01-22 00:00:29,2013-02-03 00:46:38
496,200,53329659-9,2015-12-18 17:47:51,2015-12-30 06:25:43
497,90,95656123-k,2015-05-06 08:49:13,2015-05-19 19:26:43
498,163,92554015-3,2011-09-12 00:41:48,2011-09-20 03:45:25
499,55,96900689-8,2014-01-09 21:34:34,2014-01-13 11:28:51
500,77,81600879-4,2011-05-28 03:31:18,2011-06-06 19:07:12
501,75,59495529-3,2020-04-24 23:49:47,2020-05-01 15:01:08
502,145,40644356-6,2016-04-27 10:56:13,2016-05-11 14:46:39
503,10,49326776-0,2014-10-31 09:13:35,2014-11-12 14:56:31
504,176,77484278-0,2010-06-26 11:24:50,2010-07-08 11:36:53
505,172,82993651-8,2013-12-28 01:44:01,2014-01-03 11:12:42
506,154,55106753-k,2012-05-01 13:59:49,2012-05-08 19:04:19
507,31,90471139-k,2016-12-18 07:09:13,2016-12-24 15:41:24
508,32,25450277-4,2015-09-27 09:11:55,2015-10-01 18:26:30
509,193,50453382-4,2019-06-13 07:14:11,2019-06-22 09:12:59
510,13,97675067-5,2016-05-20 15:35:44,2016-06-04 06:15:47
511,33,78166652-1,2012-10-05 00:28:09,2012-10-19 00:37:42
512,136,27712443-2,2013-09-09 06:34:28,2013-09-12 15:06:17
513,72,58000701-5,2013-12-22 16:53:31,2013-12-25 23:55:22
514,85,12460058-8,2015-06-08 19:43:34,2015-06-22 07:44:36
515,109,89336201-0,2017-09-03 07:23:40,2017-09-06 22:15:42
516,108,51853396-7,2010-02-28 13:06:13,2010-03-08 00:32:50
517,205,75269880-5,2018-05-25 12:19:46,2018-06-04 13:49:04
518,85,33874298-3,2018-03-14 16:07:57,2018-03-22 07:23:49
519,207,35785969-7,2015-03-25 21:36:06,2015-04-08 03:03:05
520,24,69141385-3,2015-10-15 20:09:04,2015-10-23 04:22:17
521,26,15333675-k,2013-10-29 06:43:32,2013-11-12 21:31:10
522,80,85301240-8,2014-11-14 18:40:37,2014-11-25 06:28:36
523,107,85682952-9,2013-10-11 13:10:49,2013-10-23 13:49:40
524,159,95185947-8,2016-10-04 05:01:11,2016-10-11 11:06:35
525,180,99223381-8,2020-02-08 22:56:05,2020-02-12 13:36:33
526,173,76356563-7,2018-07-01 09:09:20,2018-07-09 20:21:43
527,197,18076157-8,2017-09-27 06:29:47,2017-10-02 06:59:27
528,110,57342278-3,2014-10-31 08:05:14,2014-11-09 20:15:31
529,147,81602032-8,2013-07-19 07:02:02,2013-07-24 08:48:58
530,107,92311983-3,2016-12-25 07:48:08,2016-12-30 08:52:12
531,66,95932617-7,2010-02-14 16:54:07,2010-02-24 19:38:11
532,114,61892040-2,2016-11-10 23:06:01,2016-11-18 03:38:23
533,24,52581344-4,2020-05-08 04:21:09,2020-05-12 06:47:44
534,28,83118985-1,2020-01-06 16:47:39,2020-01-21 08:34:59
535,67,63814706-8,2017-08-05 14:04:02,2017-08-15 18:04:55
536,81,90739234-1,2020-01-12 03:13:45,2020-01-26 07:30:56
537,194,54593722-0,2012-10-01 15:44:29,2012-10-09 04:07:43
538,114,88697741-7,2013-03-17 14:10:33,2013-03-30 17:13:13
539,39,58303600-8,2016-09-20 13:13:47,2016-10-02 21:46:12
540,109,89336201-0,2014-12-23 15:46:27,2014-12-28 17:19:03
541,197,84095044-1,2019-06-04 18:54:45,2019-06-08 23:21:25
542,29,49993665-6,2018-08-03 14:07:44,2018-08-17 15:53:07
543,209,46491043-3,2013-02-26 05:28:50,2013-03-04 21:09:03
544,133,59814228-9,2016-03-26 13:52:36,2016-04-08 22:24:59
545,77,75357089-6,2014-03-15 01:31:11,2014-03-26 15:07:39
546,12,98544321-1,2020-08-02 02:00:27,2020-08-07 17:42:22
547,5,74580276-1,2015-06-30 20:00:11,2015-07-08 04:13:42
548,151,76563311-7,2014-10-26 21:39:39,2014-11-08 11:31:09
549,147,20034783-8,2014-05-31 15:30:16,2014-06-08 05:43:40
550,145,12187269-2,2018-04-22 09:08:49,2018-04-28 15:38:37
551,86,34414978-k,2011-05-19 01:24:48,2011-06-02 02:27:28
552,48,51630030-2,2013-01-09 05:13:39,2013-01-19 05:58:49
553,213,87859472-k,2013-03-27 00:31:22,2013-04-07 04:49:53
554,93,82833215-5,2020-01-29 22:15:48,2020-02-04 08:18:22
555,84,72429091-4,2011-05-19 04:05:01,2011-06-02 19:32:42
556,161,83029887-8,2019-11-10 06:26:28,2019-11-14 20:40:34
557,62,45400053-6,2015-11-16 03:58:08,2015-11-24 09:13:22
558,148,30364676-0,2016-09-27 16:20:17,2016-10-12 08:52:10
559,24,69141385-3,2010-07-21 14:36:25,2010-07-25 01:42:59
560,175,26617374-1,2018-03-25 00:29:32,2018-04-08 15:00:34
561,62,76849115-1,2010-11-27 16:40:48,2010-12-08 00:53:06
562,43,79543386-4,2015-01-04 23:17:00,2015-01-12 09:31:35
563,185,86555166-5,2011-03-24 10:06:38,2011-03-30 17:27:26
564,93,82833215-5,2020-03-26 06:18:35,2020-04-04 10:38:49
565,27,25002692-7,2012-12-17 09:26:01,2012-12-20 19:26:08
566,171,94559048-3,2018-02-11 01:13:33,2018-02-19 16:53:23
567,67,57133149-7,2016-09-05 08:28:09,2016-09-09 20:47:32
568,37,34349789-k,2019-03-25 08:30:25,2019-04-03 16:09:14
569,93,93044599-1,2019-03-24 11:35:19,2019-04-05 20:01:06
570,142,98121429-3,2016-06-27 09:37:08,2016-07-10 20:17:47
571,100,34996262-4,2020-03-31 15:08:47,2020-04-10 06:33:55
572,190,63953205-4,2015-01-07 09:44:29,2015-01-21 02:08:52
573,23,28630079-0,2017-11-13 16:53:14,2017-11-21 19:00:39
574,103,73026642-1,2017-07-21 14:29:50,2017-08-03 23:28:38
575,208,51242629-8,2019-08-30 23:45:45,2019-09-11 02:53:48
576,148,95777850-k,2017-04-29 00:40:20,2017-05-05 04:05:03
577,22,63974341-1,2020-08-10 16:43:20,2020-08-18 02:03:30
578,40,23494123-2,2018-03-07 03:04:33,2018-03-20 09:06:49
579,86,34414978-k,2018-05-01 07:58:40,2018-05-07 21:23:48
580,81,79480331-5,2016-05-11 15:26:43,2016-05-26 03:03:10
581,132,54363208-2,2018-10-31 01:21:54,2018-11-08 17:50:07
582,151,85973291-7,2019-03-12 21:19:12,2019-03-17 22:25:37
583,176,72810804-5,2016-01-14 11:44:56,2016-01-21 02:47:03
584,193,72570829-7,2013-04-30 06:43:16,2013-05-10 20:11:26
585,154,92445451-2,2017-01-14 13:27:28,2017-01-26 23:35:03
586,14,46787382-2,2014-09-10 14:29:48,2014-09-15 04:44:26
587,184,85743167-7,2013-02-22 05:41:25,2013-03-07 06:15:02
588,114,95403427-5,2011-05-02 12:23:42,2011-05-10 12:50:28
589,11,40538537-6,2017-11-26 19:11:31,2017-12-01 10:22:06
590,189,66361406-1,2011-08-05 07:27:58,2011-08-09 07:34:00
591,116,52968708-7,2013-09-05 21:43:52,2013-09-12 14:18:22
592,28,14114400-6,2015-08-06 07:45:15,2015-08-12 19:57:06
593,116,86367440-9,2011-06-01 16:42:14,2011-06-15 18:52:13
594,93,14982281-k,2011-04-09 02:06:42,2011-04-19 08:33:02
595,76,32700742-4,2018-06-09 14:00:43,2018-06-15 05:25:27
596,76,10537138-1,2010-04-18 03:22:05,2010-04-28 12:43:04
597,188,60747994-1,2012-08-15 11:03:40,2012-08-21 18:20:47
598,52,79263691-8,2014-12-17 03:57:36,2014-12-20 07:20:53
599,57,91231636-k,2017-03-14 21:47:05,2017-03-25 23:46:29
600,105,95514882-7,2013-10-04 02:37:44,2013-10-18 11:24:18
601,210,19735595-6,2011-07-11 02:27:53,2011-07-25 09:25:43
602,169,75328775-2,2018-12-24 03:20:26,2018-12-27 13:29:54
603,184,45717384-9,2016-09-02 04:47:05,2016-09-16 05:53:12
604,207,34039148-9,2018-02-22 17:39:02,2018-02-28 02:20:53
605,179,64269343-3,2020-02-23 23:41:55,2020-03-07 06:44:11
606,88,54480341-7,2017-06-29 15:56:36,2017-07-05 16:01:27
607,138,45125749-8,2019-06-28 22:46:41,2019-07-11 09:25:00
608,142,13592940-9,2012-03-10 20:15:40,2012-03-14 10:04:43
609,167,20209505-4,2020-09-05 12:13:39,2020-09-20 00:13:02
610,197,72070561-3,2016-08-05 18:50:47,2016-08-17 06:36:04
611,169,75328775-2,2016-01-26 23:36:11,2016-01-30 12:35:42
612,210,29877385-6,2017-03-22 09:12:10,2017-03-26 21:37:45
613,62,36600416-5,2011-01-31 20:22:55,2011-02-09 01:58:02
614,105,63382431-2,2017-02-14 03:42:24,2017-02-21 11:15:09
615,170,51193594-6,2011-02-07 18:55:40,2011-02-20 08:13:15
616,77,59444986-k,2013-05-18 08:16:35,2013-05-24 21:30:21
617,9,94384917-k,2014-08-24 17:29:23,2014-09-05 00:20:09
618,58,63421928-5,2015-12-18 18:24:53,2015-12-25 07:50:19
619,8,35480818-8,2017-08-25 03:16:03,2017-08-28 03:29:50
620,155,85384785-2,2011-08-26 16:40:54,2011-08-31 19:45:57
621,79,77477421-1,2016-04-28 10:18:55,2016-05-04 01:56:32
622,16,86164302-6,2010-09-27 21:48:09,2010-10-06 23:02:14
623,103,73026642-1,2012-01-12 04:16:30,2012-01-20 17:35:02
624,135,74748755-3,2016-09-04 15:05:37,2016-09-09 20:08:54
625,112,93285177-6,2019-11-23 04:38:33,2019-11-28 14:52:03
626,56,43926456-k,2013-08-01 17:14:23,2013-08-04 17:23:19
627,42,96251410-3,2019-05-26 22:50:20,2019-06-06 04:08:07
628,163,20820475-0,2018-04-05 10:59:19,2018-04-14 17:13:29
629,1,98683815-5,2020-04-04 09:03:33,2020-04-18 13:28:43
630,175,33890329-4,2020-05-19 15:31:44,2020-05-27 22:54:33
631,124,26123513-7,2014-06-26 14:42:34,2014-07-04 04:00:42
632,87,64063874-5,2019-11-13 21:46:44,2019-11-26 22:15:47
633,34,14200344-9,2019-01-31 13:45:10,2019-02-09 14:55:13
634,33,91888069-0,2016-10-05 10:28:54,2016-10-19 20:20:20
635,207,79758989-6,2016-07-25 00:24:39,2016-08-02 16:26:12
636,53,66045545-0,2015-10-10 23:17:32,2015-10-17 05:11:31
637,103,11784418-8,2018-07-20 05:45:54,2018-08-01 08:12:32
638,64,48176712-1,2019-11-14 08:14:45,2019-11-23 00:10:20
639,62,31457093-6,2018-12-24 04:58:05,2019-01-02 09:59:59
640,200,38830395-6,2020-06-05 19:01:31,2020-06-13 11:31:54
641,57,12673702-5,2017-06-15 02:32:57,2017-06-27 04:33:35
642,162,88034198-7,2015-05-17 14:46:06,2015-05-23 22:58:46
643,109,12205074-2,2018-08-01 07:14:42,2018-08-06 18:41:03
644,147,16836029-0,2014-09-19 16:41:40,2014-10-01 21:02:59
645,37,41694611-6,2014-12-01 08:53:16,2014-12-11 17:35:24
646,198,86447590-6,2012-07-06 01:35:09,2012-07-17 01:43:27
647,132,54004386-8,2015-11-06 04:51:38,2015-11-10 13:14:52
648,27,69402733-4,2018-10-08 09:47:46,2018-10-16 16:03:44
649,124,83917354-7,2018-03-17 12:43:52,2018-03-29 13:23:05
650,8,38629675-8,2018-07-09 05:12:53,2018-07-22 18:38:44
651,141,22240154-2,2019-12-07 16:40:59,2019-12-19 02:38:24
652,16,86164302-6,2015-11-23 21:00:09,2015-11-29 07:15:58
653,193,66899113-0,2010-05-13 06:54:39,2010-05-21 13:11:37
654,22,63974341-1,2011-02-23 03:02:22,2011-02-26 14:21:07
655,196,45355149-0,2011-09-20 00:24:05,2011-09-26 04:58:51
656,35,31111145-0,2018-06-28 05:22:57,2018-07-07 06:24:56
657,172,59959821-9,2014-06-26 10:06:02,2014-07-07 21:08:16
658,149,79695896-0,2011-12-06 12:32:45,2011-12-15 04:54:39
659,129,69251591-9,2019-08-16 16:50:11,2019-08-22 02:30:31
660,207,35785969-7,2014-08-08 20:23:36,2014-08-22 05:22:36
661,189,63884576-8,2017-12-26 00:36:00,2018-01-01 07:57:02
662,97,87544765-3,2018-07-18 14:15:56,2018-07-25 19:43:07
663,160,23298314-0,2010-01-29 22:52:04,2010-02-05 05:26:47
664,8,34352032-8,2016-09-02 06:25:32,2016-09-11 15:45:00
665,107,38317707-3,2014-11-27 02:52:55,2014-12-09 14:50:29
666,145,12187269-2,2015-10-04 11:25:25,2015-10-11 12:59:02
667,210,33802463-0,2010-11-28 01:50:58,2010-12-10 10:32:38
668,84,15623590-3,2018-11-30 21:24:54,2018-12-06 05:07:03
669,80,43630930-9,2012-07-18 04:30:04,2012-07-23 12:54:37
670,71,81698647-8,2011-02-09 01:43:59,2011-02-14 10:24:43
671,77,57639262-1,2017-11-09 13:21:08,2017-11-24 04:06:03
672,142,65855526-k,2013-07-25 15:35:39,2013-08-05 23:13:09
673,181,71962392-1,2012-08-20 17:03:40,2012-08-28 02:25:14
674,3,27626683-7,2013-11-26 02:03:40,2013-12-09 09:25:44
675,159,21332506-k,2012-04-14 21:06:00,2012-04-21 23:58:12
676,163,71389826-0,2016-01-06 11:20:23,2016-01-10 16:50:59
677,144,41183684-3,2019-03-21 07:18:59,2019-04-04 11:36:30
678,130,53967694-6,2013-12-24 04:43:50,2013-12-27 10:47:57
679,45,22274441-5,2015-08-06 19:49:14,2015-08-14 05:06:40
680,181,11123767-0,2015-12-27 05:43:37,2016-01-10 09:44:22
681,16,53089483-5,2014-05-28 16:12:42,2014-06-11 20:41:27
682,52,71881591-6,2016-08-23 16:36:13,2016-08-31 02:19:35
683,101,31706054-8,2011-05-23 20:15:34,2011-05-30 01:42:21
684,76,10537138-1,2011-01-30 21:28:28,2011-02-07 08:20:17
685,144,52189199-8,2015-03-19 04:32:35,2015-04-01 20:29:42
686,0,75295314-7,2013-02-12 03:19:00,2013-02-20 07:35:11
687,144,11439340-1,2020-08-20 09:17:13,2020-08-26 11:25:38
688,150,71612139-9,2020-03-10 09:14:52,2020-03-24 23:06:22
689,11,59260036-6,2011-09-05 16:18:37,2011-09-12 01:09:53
690,11,40538537-6,2020-05-04 17:20:31,2020-05-12 05:17:49
691,101,89146700-1,2016-01-05 22:13:23,2016-01-16 03:52:43
692,131,91461351-5,2012-04-02 13:53:01,2012-04-16 22:59:49
693,101,35414863-3,2015-04-07 09:18:40,2015-04-11 20:49:09
694,108,48459253-5,2011-02-13 21:06:15,2011-02-17 01:05:39
695,87,74357811-2,2017-01-05 16:49:05,2017-01-16 02:10:00
696,38,37797879-k,2015-09-05 23:39:37,2015-09-13 04:49:35
697,181,11123767-0,2014-08-03 01:30:40,2014-08-07 08:24:06
698,176,77484278-0,2018-11-19 16:24:38,2018-11-28 22:48:31
699,61,62014673-0,2015-08-30 03:43:43,2015-09-05 15:01:26
700,3,16264932-9,2015-12-04 16:58:32,2015-12-13 00:47:07
701,73,29903675-8,2017-02-24 22:26:36,2017-03-05 09:11:23
702,14,30741496-1,2016-09-27 16:28:44,2016-10-03 22:55:00
703,182,11544489-1,2019-03-30 01:52:50,2019-04-11 05:37:18
704,126,34012878-8,2017-07-30 11:30:06,2017-08-11 02:40:47
705,82,21630671-6,2020-05-24 05:47:46,2020-06-01 16:57:08
706,6,95541819-0,2010-06-09 06:00:13,2010-06-15 07:18:36
707,207,79758989-6,2018-05-20 10:44:19,2018-05-31 11:56:26
708,40,22001298-0,2010-08-03 11:34:37,2010-08-13 21:56:24
709,26,43922451-7,2019-03-04 08:53:38,2019-03-17 11:51:39
710,29,28231652-8,2013-10-11 04:15:05,2013-10-21 12:41:54
711,80,85301240-8,2017-01-11 04:42:02,2017-01-17 19:36:12
712,184,52158784-9,2015-01-22 02:02:30,2015-01-28 09:19:21
713,52,45026478-4,2018-02-21 04:18:56,2018-02-24 15:33:41
714,154,49641463-2,2019-02-25 05:21:24,2019-03-02 14:53:14
715,146,50511840-5,2010-08-05 23:46:53,2010-08-20 05:28:36
716,15,93009498-6,2017-09-11 12:10:16,2017-09-17 18:05:00
717,31,90471139-k,2020-04-18 20:34:41,2020-05-01 05:11:28
718,45,75981648-k,2020-01-22 13:04:51,2020-01-29 19:25:55
719,80,92170041-5,2013-08-12 09:55:57,2013-08-21 16:39:42
720,157,49359132-0,2015-11-03 02:32:33,2015-11-12 05:33:54
721,126,44812887-3,2019-04-18 15:49:17,2019-05-02 19:17:28
722,180,35776394-0,2015-07-29 16:35:16,2015-08-05 16:53:25
723,71,15119459-1,2014-05-08 05:39:58,2014-05-17 16:20:24
724,139,91119340-k,2016-02-11 01:01:24,2016-02-18 12:07:08
725,183,26849996-2,2013-02-06 17:46:01,2013-02-11 20:37:38
726,17,46288331-5,2012-09-05 23:24:13,2012-09-18 06:51:44
727,195,34902561-2,2014-11-14 22:02:40,2014-11-26 02:37:22
728,92,13965853-1,2013-10-12 16:42:57,2013-10-22 09:03:21
729,66,43953571-7,2011-07-13 22:37:33,2011-07-25 14:13:48
730,111,41325900-2,2013-06-29 16:40:38,2013-07-05 21:55:20
731,70,25399600-5,2013-02-04 09:31:24,2013-02-16 12:50:29
732,74,42300579-3,2010-12-17 22:42:27,2010-12-23 02:01:37
733,136,91957637-5,2014-03-31 18:07:03,2014-04-03 21:32:26
734,53,53747213-8,2015-11-24 03:05:13,2015-12-02 19:17:39
735,36,29742884-5,2014-08-26 16:27:22,2014-09-02 00:26:04
736,107,38317707-3,2017-04-28 21:24:54,2017-05-09 08:21:43
737,22,63974341-1,2011-12-29 06:38:21,2012-01-05 15:44:08
738,201,41071374-8,2016-08-03 09:53:45,2016-08-06 10:19:10
739,60,54121962-5,2013-09-28 17:35:28,2013-10-08 19:05:09
740,12,34572846-5,2016-12-12 11:14:57,2016-12-18 22:14:32
741,39,58303600-8,2015-11-12 09:54:02,2015-11-21 18:51:22
742,150,82903113-2,2018-03-28 10:55:31,2018-04-09 00:00:49
743,190,95711978-6,2013-03-29 16:00:44,2013-04-05 04:47:36
744,26,95741388-9,2014-01-24 06:36:08,2014-01-29 19:22:41
745,134,57325256-k,2014-03-14 08:49:56,2014-03-17 15:58:17
746,193,20026905-5,2016-09-03 09:39:59,2016-09-16 11:17:31
747,74,72309503-4,2010-05-20 12:24:07,2010-06-04 01:52:53
748,147,48433213-4,2014-05-26 15:25:43,2014-06-02 00:15:25
749,210,33802463-0,2016-10-23 03:13:00,2016-11-06 17:48:26
750,177,44973013-5,2017-03-30 05:28:39,2017-04-13 11:36:33
751,57,76081261-7,2013-05-01 06:39:42,2013-05-12 18:49:58
752,45,68505645-3,2018-01-20 23:12:15,2018-01-26 12:55:42
753,149,85394005-4,2013-11-30 19:45:16,2013-12-13 01:29:21
754,150,43654491-k,2011-12-15 03:12:51,2011-12-24 09:13:55
755,208,86434438-0,2013-02-05 17:39:25,2013-02-10 01:46:10
756,106,53211068-8,2019-10-10 16:51:31,2019-10-14 07:18:40
757,153,23047484-2,2016-11-19 02:14:00,2016-11-29 08:27:37
758,67,53721649-2,2013-12-27 22:58:02,2014-01-09 14:47:39
759,206,21219682-7,2018-02-19 05:42:24,2018-03-03 13:00:16
760,178,91790173-2,2012-09-10 15:01:21,2012-09-23 05:08:10
761,212,61774912-2,2011-06-19 09:33:21,2011-07-01 01:44:28
762,176,77484278-0,2010-01-29 05:59:51,2010-02-06 15:54:08
763,111,45644100-9,2010-04-06 07:49:17,2010-04-15 22:21:02
764,178,91790173-2,2013-05-02 04:30:56,2013-05-11 08:23:51
765,131,70582800-8,2011-12-02 18:57:07,2011-12-10 09:36:16
766,156,83123905-0,2019-08-13 14:58:41,2019-08-19 21:34:21
767,65,30928102-0,2017-09-30 11:55:14,2017-10-08 04:23:09
768,69,10119008-0,2012-03-15 10:26:10,2012-03-26 12:55:57
769,207,79758989-6,2014-10-21 00:34:57,2014-11-04 07:47:17
770,152,69691126-6,2010-05-18 05:59:08,2010-05-23 21:54:54
771,52,79263691-8,2013-01-07 09:45:13,2013-01-21 02:05:29
772,154,59060940-4,2017-03-04 01:20:25,2017-03-12 03:01:57
773,123,56229978-5,2011-07-07 22:03:41,2011-07-10 22:20:20
